name,first_year,last_year,desc_2010,desc_2011,desc_2012,desc_2013,desc_2014,desc_2015,desc_2016,desc_2017,genres_2014,genres_2015,genres_2016,genres_2017
백경석,2010,2011,EBS 스페이스 공감 PD,EBS 스페이스 공감 PD,,,,,,,,,,
안인용,2010,2011,[한겨례신문] 기자,[한겨레신문] 기자,,,,,,,,,,
방성영,2010,2012,EBS라디오 세계음악기행PD,EBS라디오 세계음악기행PD,EBS라디오 세계음악기행PD,,,,,,,,,
이승형,2010,2012,SBS 미디어넷 차장,SBS 미디어넷 차장,[이데일리] 부장,,,,,,,,,
장우철,2010,2012,GQ코리아 피쳐디렉터,GQ코리아 피처디렉터,GQ코리아 피처디렉터,,,,,,,,,
강명석,2010,2013,[텐아시아] 취재기자,[텐아시아] 취재기자,[텐아시아] 편집장,[텐아시아] 편집장,,,,,,,,
김양수,2010,2013,월간 [페이퍼] 기자,음악칼럼니스트,음악칼럼니스트,음악칼럼니스트,,,,,,,,
김정위,2010,2013,대중음악평론가,대중음악평론가,대중음악평론가,대중음악평론가,,,,,,,,
신정수,2010,2013,PBC 라디오 PD,PBC 라디오 PD,PBC 라디오 PD,PBC 라디오 PD,,,,,,,,
양중석,2010,2013,음악애호가 / 전[52street] 기자,음악애호가 / 전[52street] 기자,음악애호가 / 전[52street] 기자,음악애호가 / 전[52street] 기자,,,,,,,,
이동연,2010,2013,한국예술종합학교 교수,한국예술종합학교 교수,한국예술종합학교 교수,한국예술종합학교 교수,,,,,,,,
이창호,2010,2013,MBC 라디오PD,MBC 라디오PD,MBC 라디오PD,MBC 라디오PD,,,,,,,,
이호영,2010,2013,대중음악평론가,대중음악평론가,대중음악평론가,대중음악평론가,,,,,,,,
권범준,2010,2015,대중음악평론가,대중음악평론가,대중음악평론가,대중음악평론가,대중음악평론가,대중음악평론가,,,록-모던록,록-모던록,,
김고금평,2010,2015,문화일보 기자,문화일보 기자,문화일보 기자,문화일보 기자,[문화일보] 기자,[머니투데이] 기자,,,팝-댄스&일렉트로닉,팝-댄스&일렉트로닉,,
박영웅,2010,2015,[머니투데이] 기자,[머니투데이] 기자,[머니투데이] 기자,[머니투데이] 기자,[빌보드코리아] 기자,음악칼럼니스트,,,힙합-알앤비&소울,힙합-알앤비&소울,,
예동현,2010,2015,웹진 [리드머] 필진,웹진 [리드머] 필진,웹진 [리드머] 필진,웹진 [리드머] 필진,웹진 [리드머] 필진,웹진 [리드머] 필진,,,힙합-알앤비&소울,힙합-알앤비&소울,,
차우진,2010,2015,웹진 [weiv] 에디터,웹진 [weiv] 에디터,웹진 [weiv] 에디터,웹진 [weiv] 에디터,웹진 [weiv] 에디터,웹진 [weiv] 에디터,,,팝-댄스&일렉트로닉,팝-댄스&일렉트로닉,,
박애경,2010,2016,대중음악평론가,대중음악평론가,대중음악평론가,대중음악평론가,대중음악평론가,대중음악평론가,대중음악평론가,,재즈&크로스오버,재즈&크로스오버,재즈&크로스오버,
서병석,2010,2016,CBS 라디오 PD,CBS 라디오 PD,CBS 라디오 PD,CBS 라디오 PD,CBS 라디오 PD,CBS 라디오 PD,CBS 라디오 PD,,록-모던록,록-모던록,록-모던록,
서정민,2010,2016,[한겨례신문] 기자,[한겨레신문] 기자,[한겨례신문] 기자,[한겨례신문] 기자,[한겨레신문] 기자,[한겨레신문] 기자,[한겨레신문] 기자,,팝-댄스&일렉트로닉,팝-댄스&일렉트로닉,팝-댄스&일렉트로닉,
윤호준,2010,2016,[음악취향Y] 필진 / 음악평론가,[음악취향Y] 필진 / 음악평론가,[음악취향Y] 필진 / 음악평론가,[음악취향Y] 필진 / 음악평론가,"[음악취향Y] 필진,음악평론가",[음악취향Y] 필진 / 음악평론가,[음악취향Y] 필자,,팝-댄스&일렉트로닉,"포크,팝-댄스&일렉트로닉","포크,팝-댄스&일렉트로닉",
이용우,2010,2016,웹진 [weiv] 에디터,웹진 [weiv] 에디터,웹진 [weiv] 에디터,웹진 [weiv] 에디터,웹진 [weiv] 에디터,웹진 [weiv] 에디터,웹진 [weiv] 에디터,,록-모던록,록-모던록,록-모던록,
