"name","description"
"강명석","[텐아시아] 취재기자"
"강일권","웹진 [리드머] 편집장"
"공태희","OBS PD"
"권범준","대중음악평론가"
"권오성","대구MBC 음악감독 / DJ"
"김고금평","문화일보 기자"
"김광현","[재즈피플] 편집장"
"김봉현","대중음악평론가"
"김봉환","벅스 음악컨텐츠팀 음악 PD"
"김양수","음악칼럼니스트"
"김원석","시에스타 컨텐츠팀장"
"김윤하","대중음악평론가"
"김작가","대중음악평론가"
"김정위","대중음악평론가"
"김창남","성공회대 교수 (선정위원장)"
"김학선","웹진 [보다] 편집장"
"김홍범","KBS 라디오 PD"
"나도원","음악평론가"
"문정호","대중음악평론가"
"민일홍","KBS 라디오 PD"
"박애경","대중음악평론가"
"박영웅","[머니투데이] 기자"
"박은석","대중음악평론가"
"박정용","카페 veloso / 웹진[weiv] 에디터"
"박준흠","가슴네트워크 대표"
"방성영","EBS라디오 세계음악기행PD"
"배순탁","대중음악평론가"
"백경석","EBS 스페이스 공감 PD"
"서병석","CBS 라디오 PD"
"서정민","[한겨레신문] 기자"
"서정민갑","대중음악평론가"
"성우진","대중음악평론가"
"송명하","월간 [핫뮤직] 기자"
"신정수","PBC 라디오 PD"
"신현준","대중음악평론가"
"안병진","경인방송 라디오 PD"
"안인용","[한겨레신문] 기자"
"양중석","음악애호가 / 전[52street] 기자"
"예동현","웹진 [리드머] 필진"
"유정훈","온라인 샵 [뮤직랜드] 컨텐츠 팀장"
"윤호준","[음악취향Y] 필진 / 음악평론가"
"이경준","대중음악평론가"
"이광훈","Radio KISS 편성 제작 팀장"
"이대희","[프레시안] 기자"
"이동연","한국예술종합학교 교수"
"이민희","음악칼럼니스트"
"이병주","웹진 [리드머] 필진"
"이승형","SBS 미디어넷 차장"
"이용우","웹진 [weiv] 에디터"
"이창호","MBC 라디오PD"
"이태훈","향뮤직 온라인 사업팀 과장"
"이호영","대중음악평론가"
"임희윤","[헤럴드경제] 기자"
"장우철","GQ코리아 피처디렉터"
"조원희","대중음악평론가"
"조일동","[음악취향Y] 필진 / 음악평론가"
"차우진","웹진 [weiv] 에디터"
"최규성","대중문화평론가"
"최규용","Radio KISS PD / 재즈 칼럼니스트"
"최민우","웹진 [weiv] 편집장"
"최지선","대중음악평론가"
"최지호","[음악취향Y] 필진 / 음악평론가"
"한동윤","대중음악평론가"
"홍지민","[서울신문] 기자"
